target,value,source,AVERAGE_ANNUAL_PAY
APPLE INC.,150,SANTA CLARA COUNTY,83824
APPLE INC.,150,SANTA CLARA COUNTY,98488
APPLE INC.,150,SANTA CLARA COUNTY,94120
APPLE INC.,150,SANTA CLARA COUNTY,131269
APPLE INC.,150,SANTA CLARA COUNTY,88254
APPLE INC.,150,SANTA CLARA COUNTY,121410
APPLE INC.,150,SANTA CLARA COUNTY,134410
APPLE INC.,150,SANTA CLARA COUNTY,163467
APPLE INC.,150,SANTA CLARA COUNTY,99466
APPLE INC.,150,SANTA CLARA COUNTY,74006
APPLE INC.,150,SANTA CLARA COUNTY,132038
APPLE INC.,150,SANTA CLARA COUNTY,66602
APPLE INC.,150,SANTA CLARA COUNTY,63856
APPLE INC.,150,SANTA CLARA COUNTY,58885
APPLE INC.,150,SANTA CLARA COUNTY,104042
APPLE INC.,150,SANTA CLARA COUNTY,88962
APPLE INC.,150,SANTA CLARA COUNTY,154107
APPLE INC.,150,SANTA CLARA COUNTY,123053
APPLE INC.,150,SANTA CLARA COUNTY,109470
APPLE INC.,150,SANTA CLARA COUNTY,36046
APPLE INC.,150,SANTA CLARA COUNTY,132038
APPLE INC.,150,SANTA CLARA COUNTY,98488
"JUNIPER NETWORKS, INC.",150,SANTA CLARA COUNTY,174244
APPLE INC.,150,SANTA CLARA COUNTY,94598
APPLE INC.,150,SANTA CLARA COUNTY,60528
APPLE INC.,150,SANTA CLARA COUNTY,117187
APPLE INC.,150,SANTA CLARA COUNTY,104832
APPLE INC.,150,SANTA CLARA COUNTY,71032
APPLE INC.,150,SANTA CLARA COUNTY,69784
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,100,SAN FRANCISCO COUNTY,130121
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,94162
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,109408
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,76918
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,149490
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,114400
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,109408
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,100006
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,117229
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,107671
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,108918
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,109169
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,112411
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,114831
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,117481
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,125043
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,126188
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,127156
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,127366
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,128690
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,129860
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,131346
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,137199
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,140261
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,146871
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,146871
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,149616
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,150108
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,152134
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,153096
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,153812
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,168547
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,168834
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,170142
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,170371
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,171716
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,171863
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,172854
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,109762
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,131269
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,77563
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,110157
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,132038
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,110157
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,148928
ADOBE SYSTEMS INCORPORATED,100,SANTA CLARA COUNTY,115253
SYNTEL INC,100,ALAMEDA COUNTY,60029
SYNTEL CONSULTING INC.,100,ALAMEDA COUNTY,60029
ZENSAR TECHNOLOGIES INC.,75,SANTA CLARA COUNTY,85273
ZENSAR TECHNOLOGIES INC.,75,SANTA CLARA COUNTY,92661
TATA CONSULTANCY SERVICES LIMITED,54,SANTA CLARA COUNTY,81000
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,80731
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,88323
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,50,SAN FRANCISCO COUNTY,88296
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,50,SAN FRANCISCO COUNTY,87606
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,81802
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,81241
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,100731
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,100731
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,121531
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,132669
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,130589
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,132669
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,130589
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,50,SAN FRANCISCO COUNTY,131078
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,177831
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,50,SAN FRANCISCO COUNTY,189364
PRICEWATERHOUSECOOPERS LLP,50,SAN FRANCISCO COUNTY,200000
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,65393
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,83033
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,84101
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,90200
PRICEWATERHOUSECOOPERS,50,SANTA CLARA COUNTY,88885
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,81043
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,100835
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,100835
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,100835
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,128561
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,127604
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,128561
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,50,SANTA CLARA COUNTY,130828
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,157772
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,180888
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,180181
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,170207
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,240300
PRICEWATERHOUSECOOPERS LLP,50,SANTA CLARA COUNTY,240300
"A2Z DEVELOPMENT CENTER, INC.",50,SANTA CLARA COUNTY,109727
"A2Z DEVELOPMENT CENTER, INC.",50,SANTA CLARA COUNTY,109727
"A2Z DEVELOPMENT CENTER, INC.",50,SANTA CLARA COUNTY,109727
"A2Z DEVELOPMENT CENTER, INC.",50,SANTA CLARA COUNTY,146581
"A2Z DEVELOPMENT CENTER, INC.",50,SANTA CLARA COUNTY,146581
INTUIT INC.,50,SAN FRANCISCO COUNTY,122926
INTUIT INC.,50,SAN FRANCISCO COUNTY,147200
INTUIT INC.,50,SAN MATEO COUNTY,91104
INTUIT INC.,50,SAN MATEO COUNTY,94703
INTUIT INC.,50,SAN MATEO COUNTY,94703
INTUIT INC.,50,SAN MATEO COUNTY,94703
INTUIT INC.,50,SAN MATEO COUNTY,94703
INTUIT INC.,50,SAN MATEO COUNTY,111081
INTUIT INC.,50,SAN MATEO COUNTY,142640
INTUIT INC.,50,SANTA CLARA COUNTY,91104
INTUIT INC.,50,SANTA CLARA COUNTY,94702
INTUIT INC.,50,SANTA CLARA COUNTY,96627
INTUIT INC.,50,SANTA CLARA COUNTY,94703
INTUIT INC.,50,SANTA CLARA COUNTY,97011
INTUIT INC.,50,SANTA CLARA COUNTY,94703
INTUIT INC.,50,SANTA CLARA COUNTY,107839
INTUIT INC.,50,SANTA CLARA COUNTY,118881
INTUIT INC.,50,SANTA CLARA COUNTY,107350
INTUIT INC.,50,SANTA CLARA COUNTY,108511
INTUIT INC.,50,SANTA CLARA COUNTY,128478
INTUIT INC.,50,SANTA CLARA COUNTY,144685
INTUIT INC.,50,SANTA CLARA COUNTY,146650
INTUIT INC.,50,SANTA CLARA COUNTY,122517
"SYNOPSYS, INC.",50,SANTA CLARA COUNTY,137732
INTUIT INC.,50,SANTA CLARA COUNTY,165209
INTUIT INC.,50,SANTA CLARA COUNTY,158683
"SYNOPSYS, INC.",50,SANTA CLARA COUNTY,140261
INTUIT INC.,50,SANTA CLARA COUNTY,155635
INTUIT INC.,50,SANTA CLARA COUNTY,144881
INTUIT INC.,50,SANTA CLARA COUNTY,166388
INTUIT INC.,50,SANTA CLARA COUNTY,143055
INTUIT INC.,50,SANTA CLARA COUNTY,165635
INTUIT INC.,50,SANTA CLARA COUNTY,176388
INTUIT INC.,50,SANTA CLARA COUNTY,165052
SYNTEL INC,50,ALAMEDA COUNTY,106163
SYNTEL CONSULTING INC.,50,ALAMEDA COUNTY,106163
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,117229
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,82763
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,117229
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,167378
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,82763
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,82763
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,82763
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,117229
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,117229
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,167378
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,102211
"UBER TECHNOLOGIES, INC.",50,SAN FRANCISCO COUNTY,125000
SYNTEL CONSULTING INC.,50,SAN FRANCISCO COUNTY,74922
SYNTEL CONSULTING INC.,50,SAN FRANCISCO COUNTY,118414
ZENSAR TECHNOLOGIES INC.,50,SANTA CLARA COUNTY,85273
ZENSAR TECHNOLOGIES INC.,50,SANTA CLARA COUNTY,85273
ZENSAR TECHNOLOGIES INC.,50,SANTA CLARA COUNTY,85273
ZENSAR TECHNOLOGIES INC.,50,SANTA CLARA COUNTY,92661
ZENSAR TECHNOLOGIES INC.,50,SANTA CLARA COUNTY,92661
ZENSAR TECHNOLOGIES INC.,50,SANTA CLARA COUNTY,92661
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,108483
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,108483
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,108483
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,108483
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,108483
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,123272
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,123272
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,123272
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,123272
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,149555
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,149555
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,149555
"CISCO SYSTEMS, INC.",50,SANTA CLARA COUNTY,149555
APPLE INC.,50,SANTA CLARA COUNTY,212514
APPLE INC.,50,SANTA CLARA COUNTY,187720
APPLE INC.,50,SANTA CLARA COUNTY,138320
APPLE INC.,50,SANTA CLARA COUNTY,123656
APPLE INC.,50,SANTA CLARA COUNTY,77605
APPLE INC.,50,SANTA CLARA COUNTY,109616
APPLE INC.,50,SANTA CLARA COUNTY,125965
APPLE INC.,50,SANTA CLARA COUNTY,87090
APPLE INC.,50,SANTA CLARA COUNTY,67933
APPLE INC.,50,SANTA CLARA COUNTY,123656
APPLE INC.,50,SANTA CLARA COUNTY,102606
APPLE INC.,50,SANTA CLARA COUNTY,121410
APPLE INC.,50,SANTA CLARA COUNTY,83824
APPLE INC.,50,SANTA CLARA COUNTY,109762
APPLE INC.,50,SANTA CLARA COUNTY,88254
APPLE INC.,50,SANTA CLARA COUNTY,131269
APPLE INC.,50,SANTA CLARA COUNTY,98488
APPLE INC.,50,SANTA CLARA COUNTY,132038
APPLE INC.,50,SANTA CLARA COUNTY,115253
APPLE INC.,50,SANTA CLARA COUNTY,114254
APPLE INC.,50,SANTA CLARA COUNTY,134410
APPLE INC.,50,SANTA CLARA COUNTY,94120
APPLE INC.,50,SANTA CLARA COUNTY,87942
APPLE INC.,50,SANTA CLARA COUNTY,163467
APPLE INC.,50,SANTA CLARA COUNTY,66602
APPLE INC.,50,SANTA CLARA COUNTY,60528
APPLE INC.,50,SANTA CLARA COUNTY,94598
APPLE INC.,50,SANTA CLARA COUNTY,131456
APPLE INC.,50,SANTA CLARA COUNTY,91749
APPLE INC.,50,SANTA CLARA COUNTY,74006
APPLE INC.,50,SANTA CLARA COUNTY,85322
APPLE INC.,50,SANTA CLARA COUNTY,71032
APPLE INC.,50,SANTA CLARA COUNTY,104832
APPLE INC.,50,SANTA CLARA COUNTY,104042
APPLE INC.,50,SANTA CLARA COUNTY,99466
APPLE INC.,50,SANTA CLARA COUNTY,77563
APPLE INC.,50,SANTA CLARA COUNTY,109470
APPLE INC.,50,SANTA CLARA COUNTY,73923
APPLE INC.,50,SANTA CLARA COUNTY,88962
APPLE INC.,50,SANTA CLARA COUNTY,58885
APPLE INC.,50,SANTA CLARA COUNTY,148928
APPLE INC.,50,SANTA CLARA COUNTY,154107
APPLE INC.,50,SANTA CLARA COUNTY,36046
APPLE INC.,50,SANTA CLARA COUNTY,69784
APPLE INC.,50,SANTA CLARA COUNTY,63856
APPLE INC.,50,SANTA CLARA COUNTY,93475
APPLE INC.,50,SANTA CLARA COUNTY,123053
APPLE INC.,50,SANTA CLARA COUNTY,185162
APPLE INC.,50,SANTA CLARA COUNTY,49941
APPLE INC.,50,SANTA CLARA COUNTY,91146
APPLE INC.,50,SANTA CLARA COUNTY,71365
APPLE INC.,50,SANTA CLARA COUNTY,117187
APPLE INC.,50,SANTA CLARA COUNTY,172058
APPLE INC.,50,SANTA CLARA COUNTY,112528
APPLE INC.,50,SANTA CLARA COUNTY,93870
APPLE INC.,50,SANTA CLARA COUNTY,60965
APPLE INC.,50,SANTA CLARA COUNTY,123656
APPLE INC.,50,SANTA CLARA COUNTY,64064
APPLE INC.,50,SANTA CLARA COUNTY,125965
APPLE INC.,50,SANTA CLARA COUNTY,109616
APPLE INC.,50,SANTA CLARA COUNTY,87090
APPLE INC.,50,SANTA CLARA COUNTY,77605
APPLE INC.,50,SANTA CLARA COUNTY,67933
APPLE INC.,50,SANTA CLARA COUNTY,106517
APPLE INC.,50,SANTA CLARA COUNTY,93621
APPLE INC.,50,SANTA CLARA COUNTY,101254
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,76877
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,93163
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,109429
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,93163
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,109429
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,109221
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,108534
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,79144
"DAZ SYSTEMS, INC.",50,ALAMEDA COUNTY,90792
"DAZ SYSTEMS, INC.",50,SAN FRANCISCO COUNTY,114000
"DAZ SYSTEMS, INC.",50,SAN FRANCISCO COUNTY,103730
"DAZ SYSTEMS, INC.",50,SAN FRANCISCO COUNTY,105789
"DAZ SYSTEMS, INC.",50,SAN FRANCISCO COUNTY,96866
"FACEBOOK, INC.",50,SAN MATEO COUNTY,106950
"FACEBOOK, INC.",50,SAN MATEO COUNTY,111500
"FACEBOOK, INC.",50,SAN MATEO COUNTY,111500
"FACEBOOK, INC.",50,SAN MATEO COUNTY,111500
"FACEBOOK, INC.",50,SAN MATEO COUNTY,111500
"FACEBOOK, INC.",50,SAN MATEO COUNTY,112000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,112000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,112000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,112000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,112000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,127500
"FACEBOOK, INC.",50,SAN MATEO COUNTY,127500
"FACEBOOK, INC.",50,SAN MATEO COUNTY,132000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,132000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,134000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,134000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,135000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,135000
"FACEBOOK, INC.",50,SAN MATEO COUNTY,163000
"DAZ SYSTEMS, INC.",50,SAN MATEO COUNTY,89378
"DAZ SYSTEMS, INC.",50,SAN MATEO COUNTY,103730
"DAZ SYSTEMS, INC.",50,SAN MATEO COUNTY,105789
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,174252
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,168782
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,168782
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,168553
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,169135
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,172068
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,172068
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,169135
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,168553
YAHOO! INC.,50,SANTA CLARA COUNTY,117166
YAHOO! INC.,50,SANTA CLARA COUNTY,116604
YAHOO! INC.,50,SANTA CLARA COUNTY,116604
YAHOO! INC.,50,SANTA CLARA COUNTY,117166
YAHOO! INC.,50,SANTA CLARA COUNTY,117900
YAHOO! INC.,50,SANTA CLARA COUNTY,117900
LINKEDIN CORPORATION,50,SANTA CLARA COUNTY,124000
LINKEDIN CORPORATION,50,SANTA CLARA COUNTY,124000
LINKEDIN CORPORATION,50,SANTA CLARA COUNTY,124000
LINKEDIN CORPORATION,50,SANTA CLARA COUNTY,124000
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,168772
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,168772
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,172060
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,169127
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,172060
"JUNIPER NETWORKS, INC.",50,SANTA CLARA COUNTY,168545
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,168545
"JUNIPER NETWORKS (US), INC.",50,SANTA CLARA COUNTY,169127
"DAZ SYSTEMS, INC.",50,SANTA CLARA COUNTY,131269
"DAZ SYSTEMS, INC.",50,SANTA CLARA COUNTY,131269
WIPRO LIMITED,46,SANTA CLARA COUNTY,77564
"JUNIPER NETWORKS (US), INC.",45,SANTA CLARA COUNTY,153371
TATA CONSULTANCY SERVICES LIMITED,42,SANTA CLARA COUNTY,81000
TATA CONSULTANCY SERVICES LIMITED,41,SANTA CLARA COUNTY,81000
SYNTEL CONSULTING INC.,40,SAN FRANCISCO COUNTY,115586
ROCKET FUEL INC.,40,SAN MATEO COUNTY,118550
ROCKET FUEL INC.,40,SAN MATEO COUNTY,120153
SYNTEL CONSULTING INC.,40,SANTA CLARA COUNTY,121909
SYNTEL INC,40,SANTA CLARA COUNTY,66602
SYNTEL INC,40,SANTA CLARA COUNTY,66602
"ZS ASSOCIATES, INC.",40,SAN MATEO COUNTY,70000
"ZS ASSOCIATES, INC.",40,SAN MATEO COUNTY,87500
"ZS ASSOCIATES, INC.",40,SAN MATEO COUNTY,87500
"PINTEREST, INC.",40,SAN FRANCISCO COUNTY,130200
"FACEBOOK, INC.",40,SAN MATEO COUNTY,105500
"FACEBOOK, INC.",40,SAN MATEO COUNTY,112000
"FACEBOOK, INC.",40,SAN MATEO COUNTY,161650
"JUNIPER NETWORKS, INC.",40,SANTA CLARA COUNTY,153379
"JUNIPER NETWORKS (US), INC.",40,SANTA CLARA COUNTY,153379
"JUNIPER NETWORKS, INC.",40,SANTA CLARA COUNTY,168545
"JUNIPER NETWORKS, INC.",40,SANTA CLARA COUNTY,172060
"JUNIPER NETWORKS, INC.",40,SANTA CLARA COUNTY,153371
"JUNIPER NETWORKS (US), INC.",40,SANTA CLARA COUNTY,153371
"MAPR TECHNOLOGIES, INC.",40,SANTA CLARA COUNTY,169127
ALCATEL-LUCENT USA INC,40,SANTA CLARA COUNTY,105423
TATA CONSULTANCY SERVICES LIMITED,39,SANTA CLARA COUNTY,81000
TATA CONSULTANCY SERVICES LIMITED,38,SANTA CLARA COUNTY,81000
TATA CONSULTANCY SERVICES LIMITED,38,SANTA CLARA COUNTY,81500
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,109429
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,109429
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,93163
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,109429
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,93163
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,93163
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,93163
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,93163
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,76877
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,30,CONTRA COSTA COUNTY,60611
