Year,Geography,Visas,Continent
2001,Russia,2167,Europe
2000,Russia,1945,Europe
1999,Russia,1619,Europe
2004,Russia,1484,Europe
1998,Russia,1395,Europe
1997,Russia,1357,Europe
2002,Russia,1336,Europe
2005,Russia,1240,Europe
2006,Russia,1203,Europe
2003,Russia,1194,Europe
2007,Russia,1150,Europe
2012,Russia,914,Europe
2011,Russia,883,Europe
2013,Russia,878,Europe
2008,Russia,752,Europe
2014,Russia,735,Europe
2009,Russia,695,Europe
2010,Russia,692,Europe
2001,Philippines,4470,Asia
2007,Philippines,4279,Asia
2008,Philippines,3998,Asia
2009,Philippines,3676,Asia
2004,Philippines,3467,Asia
2002,Philippines,3387,Asia
2010,Philippines,3173,Asia
2000,Philippines,3102,Asia
1999,Philippines,3064,Asia
2003,Philippines,3027,Asia
2005,Philippines,2849,Asia
2006,Philippines,2823,Asia
1998,Philippines,2759,Asia
1997,Philippines,2653,Asia
2011,Philippines,2369,Asia
2013,Philippines,2160,Asia
2012,Philippines,2026,Asia
2014,Philippines,1700,Asia
2001,Pakistan,2903,Asia
2000,Pakistan,2295,Asia
1999,Pakistan,1933,Asia
1998,Pakistan,1509,Asia
2006,Pakistan,1293,Asia
2004,Pakistan,1279,Asia
2007,Pakistan,1233,Asia
2002,Pakistan,1227,Asia
1997,Pakistan,1144,Asia
2005,Pakistan,1117,Asia
2003,Pakistan,1017,Asia
2008,Pakistan,926,Asia
2009,Pakistan,838,Asia
2010,Pakistan,693,Asia
2014,Pakistan,670,Asia
2013,Pakistan,636,Asia
2012,Pakistan,613,Asia
2011,Pakistan,592,Asia
2013,Mexico,3686,North America
2012,Mexico,3543,North America
2014,Mexico,3243,North America
2004,Mexico,3016,North America
2002,Mexico,2990,North America
2001,Mexico,2915,North America
2007,Mexico,2905,North America
1997,Mexico,2785,North America
2006,Mexico,2699,North America
2003,Mexico,2664,North America
2011,Mexico,2647,North America
2005,Mexico,2505,North America
2010,Mexico,2494,North America
2008,Mexico,2421,North America
1999,Mexico,2418,North America
2000,Mexico,2404,North America
1998,Mexico,2320,North America
2009,Mexico,2190,North America
2001,Malaysia,1411,Asia
2000,Malaysia,1251,Asia
